0   9463.19 72.01  9045.31 65.74  948.80 65.74  2735.26 100.00
50  9532.19 70.12  9197.53 66.63  948.90 66.63  2754.59 100.00
75  9642.80 70.79  9250.18 65.15  949.10 65.15  2861.75 100.00
100 9838.38 73.10  9299.72 65.79  948.80 65.79  3025.03 100.00
